Hospital Name,Type of Hospital,Address,City,County,Zip,Phone,License #,License Expiration Date
Abraham Lincoln Hospital,Critical Access Hospital,200 Stahllhut Drive,Lincoln,Logan,62656,(217) 732-2161,0005728,06/30/17
Adventist Bolingbrook Hospital,General Hospital,500 Remington Boulevard,Bolingbrook,Will,60440,(630) 312-5000,0005496,01/10/18
Adventist GlenOaks Hospital,General Hospital,701 Winthrop Avenue,Glendale Heights,Du Page,60139,(630) 545-8000,0003814,06/30/17
Adventist Midwest Health - DBA Adventist LaGrange Memorial Hospital,General Hospital,5101 South Willow Springs Road,LaGrange,Cook,60525,(708) 245-9000,0005967,01/31/18
Adventist Midwest Health - DBA Adventist Hinsdale Hospital,General Hospital,120 North Oak Street,Hinsdale,Du Page,60521,(630) 856-9000,0000976,12/31/17
Advocate Christ Hospital & Medical Center,General Hospital,4440 W. 95th Street,Oak Lawn,Cook,60453,(708) 684-8000,0000315,12/31/17
Advocate Condell Medical Center,General Hospital,801 South Milwaukee Avenue,Libertyville,Lake,60048,(847) 362-2900,0005579,11/30/17
Advocate Health and Hospitals Corporation - DBA Good Shepherd Hospital,General Hospital,450 West Highway 22,Barrington,Lake,60010,(847) 381-9600,0003475,12/31/17
Advocate Health and Hospitals Corporation - DBA Advocate Eureka Hospital,Critical Access Hospital,101 South Major Street,Eureka,Woodford,61530,(309) 467-2371,0005652,01/05/18
Advocate Health and Hospitals Corporation - DBA Advocate Bromenn Medical Center,General Hospital,1304 Franklin Avenue,Normal,Mc Lean,61761,(309) 454-1400,0005645,01/05/18
Advocate Northside Health Network - DBA Illinois Masonic Medical Center Campus,General Hospital,836 West Wellington Avenue,Chicago,Cook,60657,(773) 975-1600,0005165,11/04/17
Advocate Sherman Hospital,General Hospital,1425 North Randall Road,Elgin,Kane,60123,(847) 742-9800,0005884,05/31/17
Advocate South Suburban Hospital,General Hospital,17800 S. Kedzie Avenue,Hazel Crest,Cook,60429,(908) 799-8000,0004697,12/31/17
Advocate Trinity Hospital,General Hospital,2320 East 93rd Street,Chicago,Cook,60617,(773) 967-5002,0004176,06/30/17
Alexian Brothers Behavioral Health Hospital,Psychiatric Hospital,1650 Moon Lake Boulevard,Hoffman Estates,Cook,60194,(847) 882-1600,0005009,01/31/18
Alexian Brothers Medical Center,General Hospital,800 West Biesterfield Road,Elk Grove Village,Cook,60007,(847) 437-5500,0002238,06/30/17
Alton Memorial Hospital,General Hospital,One Memorial Drive,Alton,Madison,62002,(618) 463-7300,0000026,12/31/17
